,전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),경로코드
314,2512,개화산,Gaehwasan,05호선,511,開花山,開花山,511
315,2514,송정,Songjeong,05호선,513,松亭,松亭,513
316,2520,신정,Sinjeong,05호선,519,新亭,新亭,519
317,2521,목동,Mok-dong,05호선,520,木洞,木洞,520
318,2522,오목교,Omokgyo,05호선,521,梧木橋,梧木橋,521
319,2523,양평,Yangpyeong,05호선,522,楊坪,楊坪,522
320,0413,쌍문,Ssangmun,04호선,413,雙門,雙門,413
321,0424,명동,Myeong-dong,04호선,424,明洞,明洞,424
322,1002,남영,Namyeong,01호선,134,南營,南營,134
327,1719,오산,Osan,01호선,P160,烏山,烏山,189
328,1822,중동,Jung-dong,01호선,149,中洞,中洞,149
331,2513,김포공항,Gimpo Intl. Airport,05호선,512,金浦空港,金浦空港,512
332,2517,우장산,Ujangsan,05호선,516,雨裝山,雨裝山,516
333,2524,영등포구청,Yeongdeungpo-gu Office,05호선,523,永登浦區廳,永登浦區廳,523
334,2525,영등포시장,Yeongdeungpo Market,05호선,524,永登浦市場,永登浦市場,524
335,2527,여의도,Yeouido,05호선,526,汝矣島,汝矣島,526
336,2529,마포,Mapo,05호선,528,麻浦,麻浦,528
337,2530,공덕,Gongdeok,05호선,529,孔德,孔德,529
338,2535,종로3가,Jongno 3(sam)-ga,05호선,534,鍾路三街,鐘路3街,534
339,2536,을지로4가,Euljiro 4(sa)-ga,05호선,535,乙支路四街,乙支路4街,535
340,2537,동대문역사문화공원,Dongdaemun History  Culture Park,05호선,536,東大門歷史文化公園,東大門歷史文化公園,536
341,2539,신금호,Singeumho,05호선,538,新金湖,新金湖,538
342,2540,행당,Haengdang,05호선,539,杏堂,杏堂,539
351,1705,관악,Gwanak,01호선,P146,冠岳,冠岳,176
352,1806,부평,Bupyeong,01호선,152,富平,富平,152
353,1808,동암,Dongam,01호선,154,銅岩,銅岩,154
354,1809,주안,Juan,01호선,156,朱安,朱安,156
355,1811,동인천,Dongincheon,01호선,160,東仁川,東仁川,160
356,1815,부개,Bugae,01호선,151,富開,富開,151
358,1910,덕계,Deokgye,01호선,106,德溪,德溪,106
359,2515,마곡,Magok,05호선,514,麻谷,麻谷,514
360,2526,신길,Singil,05호선,525,新吉,新吉,525
361,2541,왕십리,Wangsimni,05호선,540,往十里,往十里,540
362,2542,마장,Majang,05호선,541,馬場,馬場,541
363,2543,답십리,Dapsimni,05호선,542,踏十里,踏十里,542
364,2544,장한평,Janghanpyeong,05호선,543,長漢坪,長漢坪,543
368,1403,아산,Asan,01호선,P172,牙山,牙山,P172
369,1453,과천,Gwacheon,04호선,438,果川,果川,438
370,1457,범계,Beomgye,04호선,442,凡溪,ポムゲ,442
373,1729,당정,Dangjeong,01호선,P151,堂井,堂井,1181
374,1758,초지,Choji,04호선,452,草芝,草芝,452
375,1955,마두,Madu,03호선,312,馬頭,馬頭,313
376,1957,주엽,Juyeop,03호선,310,注葉,注葉,311
377,1958,대화,Daehwa,03호선,309,大化,大化,310
378,2519,까치산,Kkachisan,05호선,518,喜鵲山,カチ山,518
379,2545,군자,Gunja,05호선,544,君子,君子,544
380,2546,아차산,Achasan,05호선,545,峨嵯山,峨嵯山,545
381,2547,광나루,Gwangnaru,05호선,546,廣渡口,クァンナル,546
382,2548,천호,Cheonho,05호선,547,千戶,千戶,547
383,2550,길동,Gil-dong,05호선,549,吉洞,吉洞,549
384,2551,굽은다리,Gubeundari,05호선,550,曲橋,クブンダリ,550
385,2554,상일동,Sangil-dong,05호선,553,上一洞,上一洞,553
386,2555,둔촌동,Dunchon-dong,05호선,P549,遁村洞,遁村洞,569
387,2558,오금,Ogeum,05호선,P552,梧琴,梧琴,572
388,2559,개롱,Gaerong,05호선,P553,開籠,開籠,573
390,1454,정부과천청사,Government Complex Gwacheon,04호선,439,政府果川廳舍,政府果川廳舍,439
393,1710,의왕,Uiwang,01호선,P152,儀王,儀王,181
394,1716,병점,Byeongjeom,01호선,P157,餠店,餠店,186
395,1727,두정,Dujeong,01호선,P168,斗井,斗井,P168
